sprite_table {
9 0 29 0 1 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 6 0 9 0 36 0 26 0 26 0 26 0 26 0 0 0 0 0 0 0 0 0 
26 0 35 0 0 0 0 0 2 0 1 0 23 0 9 0 1 0 0 0 1 0 0 0 1 0 0 0 6 0 1 0 36 0 26 0 26 0 26 0 26 0 0 0 0 0 0 0 0 0 
9 0 9 0 31 0 9 0 8 0 0 0 23 0 9 0 20 0 0 0 0 0 0 0 31 0 0 0 8 0 0 0 0 0 9 0 31 0 9 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 37 0 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 9 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
decorations 8
699 -123 38 0
736 -43 39 0
742 -43 39 0
717 -66 40 0
718 -146 40 0
731 -3 41 0
727 -173 42 0
689 -7 42 0

layer // layer 1
name noname
offset 15 15
cells_offset -280 -280
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 25
height 32
shadow
no_cells
sprite_cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 44 0 0 0 44 0 0 0 44 0 0 0 44 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 45 0 45 0 45 0 45 0 45 0 45 0 45 0 46 0 47 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 43 0 44 0 0 0 44 0 0 0 44 0 0 0 0 0 44 0 43 0 49 0 50 0 51 0 0 0 0 0 52 0 44 0 0 0 46 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 54 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0 0 0 55 0 0 0 0 0 0 0 56 0 44 0 0 0 44 0 0 0 44 0 
0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0 44 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 53 0 59 0 55 0 0 0 0 0 0 0 56 0 44 0 0 0 44 0 0 0 52 0 
0 0 0 0 0 0 0 0 0 0 43 0 52 0 60 0 61 0 62 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 64 0 64 0 64 0 43 0 0 0 0 0 43 0 44 0 0 0 44 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 43 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 
44 0 0 0 44 0 0 0 0 0 48 0 0 0 0 0 48 0 0 0 0 0 65 0 0 0 0 0 0 0 48 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 
43 0 0 0 0 0 0 0 44 0 0 0 0 0 53 0 52 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 49 0 67 0 68 0 0 0 0 0 0 0 0 0 
0 0 48 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 69 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 
0 0 70 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
43 0 71 0 0 0 53 0 72 0 44 0 0 0 44 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
43 0 71 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 53 0 72 0 44 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
decorations 7
119 142 74 0
-40 178 75 0
-40 58 75 0
75 -40 76 0
-4 -40 76 0
1 279 77 0
78 281 77 0

layer // layer 2
name Main
offset 0 0
cells_offset -280 -280
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 27
height 33
cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 26 26 1562 0 0 0 0 0 2 0 0 0 
0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 12290 12290 13826 0 0 2 2 2 2 0 0 0 
0 0 0 0 0 2 0 0 0 0 0 2 0 2 2 0 0 0 0 0 2 0 0 2 0 0 0 
0 0 0 0 0 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 2 0 0 2 0 0 0 
0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 0 2 2 2 2 2 2 2 2 
0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 12506 12314 13850 0 0 0 0 194 2 2 2 
0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 194 2 2 0 
0 0 0 0 0 2 0 0 0 0 0 2 0 0 2 2 0 0 0 2 2 12290 12290 2 2 2 0 
0 0 2 0 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 
0 0 2 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 
0 0 2 0 0 2 0 0 0 0 0 2 2 2 2 2 0 0 218 2 2 2 2 2 2 2 0 
0 2 2 0 2 2 0 0 0 0 0 2 2 2 2 2 0 0 194 2 0 0 0 0 0 0 0 
0 0 0 0 2 12290 12314 12314 1562 0 0 2 2 2 2 2 0 0 194 2 0 0 0 0 0 0 0 
0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 0 194 2 0 0 0 0 0 0 0 
2 2 2 2 2 0 0 0 0 0 0 2 0 0 0 0 0 0 194 2 2 2 2 0 0 0 0 
2 0 0 0 2 2 0 0 2 0 0 2 2 2 2 2 0 0 12482 12290 2 2 2 0 0 0 0 
2 0 0 0 2 0 0 0 0 0 12506 2 2 2 2 2 0 0 0 0 12482 2 2 0 0 0 0 
2 2 0 0 2 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 194 2 0 0 0 0 
2 2 0 0 2 2 2 2 2 0 0 2 2 0 0 0 0 0 0 0 0 194 2 0 0 0 0 
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194 2 0 0 0 0 
2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194 2 0 0 0 0 
2 2 2 2 2 2 2 2 0 0 2 2 2 2 2 2 0 0 0 2 2 2 2 0 0 0 0 
0 0 2 0 0 0 0 2 2 0 2 2 2 2 2 2 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 
sprite_cells
0 0 0 0 0 0 0 0 78 0 79 0 79 0 79 0 79 0 79 0 79 0 79 0 79 0 80 0 44 0 0 0 44 0 0 0 52 0 44 0 0 0 44 0 0 0 52 0 44 0 0 0 52 0 
0 0 0 0 0 0 0 0 81 0 46 0 47 0 0 0 82 0 83 0 47 0 0 0 82 0 46 0 84 0 45 0 45 0 45 0 45 0 45 0 45 0 45 0 45 0 85 0 72 0 72 0 86 0 
0 0 0 0 0 0 0 0 81 0 0 0 0 0 82 0 0 0 0 0 82 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 73 0 
0 0 0 0 0 0 0 0 81 0 46 0 82 0 46 0 0 0 0 0 82 0 68 0 82 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 73 0 
0 0 0 0 0 0 0 0 81 0 0 0 0 0 0 0 83 0 82 0 82 0 82 0 87 0 88 0 88 0 68 0 88 0 82 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 73 0 
0 0 0 0 0 0 0 0 89 0 0 0 44 0 0 0 84 0 44 0 0 0 84 0 0 0 90 0 90 0 49 0 50 0 51 0 0 0 0 0 91 0 92 0 93 0 54 0 0 0 0 0 73 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 54 0 0 0 0 0 73 0 
0 0 0 0 0 0 0 0 43 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 54 0 0 0 0 0 73 0 
0 0 0 0 0 0 0 0 0 0 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0 0 0 0 0 0 59 0 91 0 93 0 95 0 96 0 96 0 97 0 
0 0 0 0 0 0 0 0 43 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 
0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 0 47 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0 84 0 52 0 
0 0 0 0 0 0 0 0 43 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 66 0 0 0 99 0 
0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 59 0 0 0 0 0 0 0 0 0 0 0 59 0 100 0 100 0 84 0 0 0 0 0 99 0 
44 0 0 0 52 0 52 0 84 0 0 0 84 0 60 0 61 0 62 0 84 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 99 0 
101 0 102 0 103 0 101 0 102 0 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 
104 0 105 0 106 0 104 0 105 0 106 0 0 0 0 0 0 0 0 0 0 0 101 0 102 0 102 0 103 0 93 0 0 0 0 0 83 0 91 0 92 0 92 0 92 0 92 0 93 0 84 0 99 0 
107 0 108 0 109 0 107 0 108 0 109 0 0 0 0 0 0 0 0 0 0 0 104 0 90 0 90 0 84 0 0 0 110 0 110 0 63 0 84 0 111 0 112 0 66 0 0 0 113 0 113 0 114 0 
66 0 0 0 115 0 66 0 0 0 64 0 64 0 64 0 68 0 0 0 0 0 107 0 108 0 108 0 84 0 0 0 110 0 110 0 63 0 84 0 111 0 112 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 115 0 0 0 0 0 0 0 0 0 0 0 114 0 0 0 0 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 101 0 102 0 102 0 102 0 103 0 0 0 0 0 0 0 
116 0 96 0 96 0 96 0 117 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 107 0 108 0 108 0 108 0 109 0 0 0 0 0 0 0 
73 0 0 0 0 0 0 0 65 0 114 0 0 0 0 0 114 0 0 0 0 0 99 0 66 0 0 0 66 0 0 0 0 0 0 0 49 0 67 0 68 0 83 0 114 0 114 0 0 0 0 0 0 0 
73 0 0 0 0 0 0 0 73 0 0 0 0 0 0 0 0 0 0 0 69 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 67 0 99 0 0 0 0 0 0 0 0 0 
73 0 70 0 0 0 0 0 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 99 0 0 0 0 0 0 0 0 0 
73 0 71 0 0 0 0 0 119 0 72 0 72 0 72 0 114 0 0 0 0 0 95 0 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 99 0 0 0 0 0 0 0 0 0 
73 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 99 0 0 0 0 0 0 0 0 0 
73 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 99 0 0 0 0 0 0 0 0 0 
119 0 72 0 72 0 72 0 72 0 72 0 72 0 86 0 0 0 0 0 116 0 96 0 96 0 96 0 96 0 84 0 0 0 0 0 0 0 0 0 72 0 72 0 114 0 0 0 0 0 0 0 0 0 
44 0 0 0 84 0 52 0 44 0 0 0 43 0 119 0 86 0 0 0 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 59 0 73 0 0 0 0 0 0 0 0 0 
120 0 0 0 0 0 0 0 120 0 0 0 0 0 43 0 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 59 0 73 0 0 0 0 0 0 0 0 0 
120 0 0 0 0 0 0 0 120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 59 0 73 0 0 0 0 0 0 0 0 0 
44 0 0 0 44 0 0 0 52 0 44 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 59 0 119 0 0 0 0 0 0 0 0 0 
decorations 14
-1 -160 121 0
-80 -160 121 0
237 -202 122 0
40 -242 123 0
120 -121 124 169
120 -161 124 193
120 -200 124 8
360 200 125 0
400 200 125 0
440 200 125 0
439 483 110 0
441 443 110 0
399 457 110 0
379 473 110 0

layer // layer 3
name noname
offset 0 0
cells_offset -280 -80
