sprite_table {
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 2 2 2 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
sprite_cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 38 0 39 0 40 0 0 0 0 0 37 0 41 0 0 0 41 0 0 0 0 0 0 0 37 0 41 0 0 0 41 0 0 0 41 0 0 0 0 0 
0 0 0 0 41 0 0 0 41 0 0 0 41 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 42 0 42 0 43 0 42 0 42 0 0 0 
0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 37 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
48 0 0 0 48 0 0 0 49 0 38 0 40 0 49 0 0 0 0 0 0 0 41 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 41 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 38 0 39 0 40 0 41 0 0 0 38 0 39 0 40 0 41 0 0 0 41 0 
0 0 48 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 50 0 51 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 41 0 0 0 41 0 0 0 0 0 0 0 28 0 28 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 38 0 52 0 40 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 
decorations 0

layer // layer 2
name Main
offset 0 0
cells_offset -80 240
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 32
height 19
cells
0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 0 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 
0 0 2 2 2 2 2 2 2 2 2 0 0 0 2 0 2 0 0 0 0 2 0 2 2 2 2 2 2 2 2 0 
0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 2 0 0 0 2 0 0 2 0 
0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 2 2 
0 0 2 2 2 2 2 2 2 2 2 0 0 0 2 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 2 0 
0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 0 2 2 2 2 2 2 0 2 0 0 0 0 2 2 2 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 0 0 0 
0 0 0 2 2 2 2 2 2 0 0 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 2 0 0 0 0 2 2 2 2 0 0 0 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 
0 0 0 2 0 0 0 0 2 2 2 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 
0 0 0 2 2 2 2 2 2 0 0 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 2 2 2 2 2 0 0 2 2 2 2 2 0 0 0 0 0 0 2 2 2 2 2 0 0 
0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 2 0 0 0 2 0 0 
0 0 0 0 0 2 0 2 0 0 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 2 0 0 0 2 0 0 
0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 2 2 2 2 0 0 0 0 0 0 2 0 0 0 2 0 0 
0 0 0 0 0 0 0 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 0 0 
sprite_cells
53 0 54 0 54 0 54 0 54 0 54 0 54 0 54 0 54 0 55 0 56 0 38 0 39 0 40 0 56 0 41 0 0 0 41 0 0 0 56 0 41 0 0 0 48 0 0 0 41 0 0 0 41 0 0 0 41 0 0 0 41 0 0 0 
57 0 58 0 59 0 60 0 60 0 60 0 60 0 60 0 60 0 61 0 56 0 0 0 0 0 0 0 62 0 48 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 63 0 42 0 42 0 43 0 42 0 64 0 51 0 37 0 
57 0 58 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 67 0 56 0 0 0 0 0 0 0 44 0 0 0 0 0 37 0 0 0 
57 0 58 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 46 0 56 0 0 0 0 0 0 0 0 0 0 0 68 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 
57 0 58 0 69 0 55 0 70 0 71 0 71 0 71 0 71 0 71 0 47 0 0 0 0 0 0 0 72 0 73 0 74 0 0 0 0 0 0 0 0 0 56 0 68 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 37 0 
57 0 75 0 76 0 65 0 77 0 78 0 78 0 78 0 53 0 54 0 55 0 41 0 0 0 41 0 0 0 68 0 79 0 80 0 80 0 81 0 37 0 37 0 68 0 37 0 0 0 0 0 0 0 0 0 56 0 56 0 56 0 0 0 
57 0 82 0 83 0 65 0 77 0 78 0 78 0 78 0 57 0 58 0 65 0 84 0 0 0 73 0 85 0 86 0 85 0 85 0 85 0 87 0 0 0 0 0 68 0 0 0 56 0 88 0 0 0 56 0 56 0 89 0 89 0 89 0 
90 0 60 0 60 0 61 0 56 0 38 0 40 0 49 0 90 0 60 0 61 0 91 0 49 0 74 0 49 0 37 0 0 0 0 0 0 0 92 0 93 0 93 0 94 0 85 0 85 0 86 0 95 0 0 0 0 0 89 0 89 0 89 0 
49 0 96 0 0 0 97 0 0 0 0 0 0 0 0 0 56 0 41 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 49 0 38 0 39 0 40 0 56 0 56 0 38 0 39 0 40 0 56 0 56 0 41 0 0 0 
37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 0 37 0 99 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 
0 0 101 0 102 0 0 0 0 0 0 0 0 0 0 0 56 0 41 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
41 0 0 0 41 0 0 0 103 0 104 0 104 0 105 0 49 0 58 0 58 0 56 0 103 0 104 0 105 0 106 0 56 0 99 0 56 0 41 0 0 0 56 0 56 0 51 0 56 0 41 0 0 0 56 0 56 0 41 0 0 0 56 0 
0 0 107 0 107 0 0 0 0 0 108 0 0 0 58 0 58 0 109 0 109 0 58 0 110 0 111 0 111 0 111 0 111 0 111 0 111 0 111 0 58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 107 0 107 0 0 0 0 0 37 0 49 0 84 0 112 0 112 0 112 0 84 0 110 0 111 0 74 0 74 0 74 0 56 0 56 0 0 0 113 0 0 0 0 0 0 0 0 0 51 0 38 0 52 0 40 0 51 0 0 0 0 0 
0 0 107 0 92 0 85 0 85 0 0 0 114 0 115 0 0 0 0 0 0 0 113 0 0 0 0 0 74 0 0 0 0 0 0 0 37 0 58 0 116 0 117 0 117 0 117 0 118 0 51 0 0 0 0 0 0 0 51 0 0 0 0 0 
0 0 92 0 85 0 85 0 85 0 56 0 119 0 49 0 0 0 0 0 0 0 91 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 113 0 120 0 120 0 120 0 0 0 51 0 0 0 0 0 0 0 100 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 37 0 102 0 0 0 0 0 0 0 0 0 37 0 99 0 99 0 56 0 56 0 41 0 0 0 56 0 58 0 116 0 117 0 117 0 117 0 118 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 103 0 104 0 105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 51 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 56 0 41 0 0 0 0 0 0 0 
decorations 24
801 396 121 0
800 436 121 0
659 238 122 0
640 618 123 0
927 488 124 0
519 480 125 0
205 811 126 0
49 574 127 0
35 574 127 0
19 574 127 0
-24 576 128 0
26 602 128 0
-20 594 129 0
-27 574 130 0
118 839 131 0
1 679 132 0
-42 679 132 0
157 678 133 0
280 760 134 0
576 879 135 0
999 959 136 0
1121 357 137 0
1079 917 138 0
441 678 139 0

layer // layer 3
name noname
offset 0 0
cells_offset 160 280
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 23
height 17
no_cells
sprite_cells
0 0 0 0 0 0 140 0 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 37 0 
0 0 0 0 141 0 141 0 141 0 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
102 0 0 0 142 0 142 0 142 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
41 0 0 0 103 0 104 0 105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
decorations 4
1000 680 143 0
880 560 144 0
1040 561 144 0
758 680 143 0

} // layers

entities { 
DoorSingleV 1 {
position_in_layer 360 600
layer_index 2
}
DoorSingleV 2 {
position_in_layer 240 600
layer_index 2
}
Device/Terminal 3 {
show_doc "log_tele"
position_in_layer 160 640
layer_index 2
}
AcidPool 5 {
size 3 1
position_in_layer 960 920
layer_index 2
}
Device/Teleport 6 {
target 7
looping_sound none
position_in_layer 440 560
layer_index 2
}
Device/Teleport 7 {
looping_sound none
position_in_layer 660 340
layer_index 2
}
Device/Teleport 8 {
target 9
looping_sound none
position_in_layer 600 400
layer_index 2
}
Device/Teleport 9 {
looping_sound none
position_in_layer 680 600
layer_index 2
}
Device/Teleport 10 {
target 11
looping_sound none
position_in_layer 1120 600
layer_index 2
}
Device/Teleport 11 {
looping_sound none
position_in_layer 600 840
layer_index 2
}
Device/Teleport 12 {
target 13
looping_sound none
position_in_layer 520 800
layer_index 2
}
Device/Teleport 13 {
looping_sound none
position_in_layer 960 800
layer_index 2
}
Device/Teleport 14 {
target 15
looping_sound none
position_in_layer 1040 860
layer_index 2
}
Device/Teleport 15 {
looping_sound none
position_in_layer 1080 400
layer_index 2
}
Device/Teleport 16 {
target 17
looping_sound none
position_in_layer 920 440
layer_index 2
}
Device/Teleport 17 {
looping_sound none
position_in_layer 440 320
layer_index 2
}
Spec/LevelExit 18 {
position_in_layer 80 360
layer_index 2
}
fly/jellyfish 19 {
speed 40 40
angle 0 0
position_in_layer 669 398
layer_index 2
}
hero/profa_jetpack 20 {
position_in_layer 459 660
layer_index 2
}
fly/jellyfish 21 {
speed 50 50
angle 180 180
position_in_layer 668 286
layer_index 2
}
spikes_N 22 {
delay_to_fwd 500
delay_to_bwd 2000
position_in_layer 760 680
layer_index 2
}
spikes_N 23 {
delay_to_fwd 500
delay_to_bwd 3000
position_in_layer 1000 680
layer_index 2
}
